y,x,class
1.8346267273496272e-47,1.8346267273497057e-47,no_correction
1.2464354368453537e-36,1.2464354368452643e-36,no_correction
1.0087960338020096e-45,1.008796033801923e-45,no_correction
1.2043284386442249e-46,1.2043284386441731e-46,no_correction
7.665116780093574e-41,7.665116780093246e-41,no_correction
6.243508877765996e-47,6.243508877765729e-47,no_correction
3.6520803154273123e-40,3.652080315427573e-40,no_correction
8.547453216025192e-38,8.547453216025436e-38,no_correction
6.466902344870145e-41,6.466902344870145e-41,no_correction
2.299972327126847e-40,2.299972327127143e-40,no_correction
5.607609778447245e-44,5.607609778447964e-44,no_correction
2.1936251870699647e-43,2.1936251870697763e-43,no_correction
7.433232409243228e-44,7.433232409243548e-44,no_correction
1.5941401476050186e-40,1.5941401476050186e-40,no_correction
2.2516385715308472e-42,2.2516385715308472e-42,no_correction
1.1763334909741069e-50,1.176333490974006e-50,no_correction
1.696870433928168e-35,1.696870433928265e-35,no_correction
9.2603662612305e-45,9.260366261230765e-45,no_correction
2.1213132898137543e-39,2.1213132898139064e-39,no_correction
3.4121296669232476e-41,3.4121296669235886e-41,no_correction
1.4944626834486583e-46,1.494462683448402e-46,no_correction
5.307888148847713e-41,5.307888148847332e-41,no_correction
5.957292300225468e-44,5.957292300225212e-44,no_correction
3.536162834607039e-40,3.5361628346071404e-40,no_correction
1.2466287651305577e-43,1.246628765130504e-43,no_correction
2.7707756083663067e-42,2.770775608366504e-42,no_correction
1.6352928130463934e-39,1.6352928130461826e-39,no_correction
2.0844172810628e-45,2.0844172810628894e-45,no_correction
2.863817311889574e-42,2.863817311889574e-42,no_correction
6.39931261423937e-47,6.3993126142396445e-47,no_correction
3.571097119768565e-43,3.5710971197684628e-43,no_correction
2.467880629304059e-40,2.467880629304059e-40,no_correction
5.552248975930733e-43,5.552248975931129e-43,no_correction
5.123722169718316e-38,5.123722169718463e-38,no_correction
9.64163277512823e-40,9.641632775127264e-40,no_correction
7.70537264439859e-36,7.705372644398812e-36,no_correction
2.919248268545062e-41,2.9192482685446444e-41,no_correction
4.352813011095133e-43,4.352813011094948e-43,no_correction
3.279179069005046e-42,3.279179069005281e-42,no_correction
4.635214452447754e-46,4.635214452446763e-46,no_correction
5.500777532690633e-41,5.500777532690632e-41,no_correction
2.7297502178492933e-45,2.7297502178495276e-45,no_correction
5.5978591272533114e-39,5.5978591272533114e-39,no_correction
